OBJECTID,IHDID,lake_name,New_Key,Area_ac,Volume_ac_ft,MeanDepth_ft,MaxDepth_ft
1015,111860649,Gilbert Lake,36-680,61.56086947,652.9169123,10.60603786,32
1016,121858689,Bluegill Lake,18-295,14.9968256,183.7784498,12.25449003,36
1017,123397651,Big African Lake,27-265,975.5804476,10760.78379,11.03013475,38
1018,123397651,Big African Lake,27-275,558.3150881,5022.680663,8.99613994,22
1019,44361058,Sand Lake,2-592,53.61148935,601.1656323,11.2133731,22
1020,44361292,Deerfoot Lake,2-612,44.8019354,242.7851145,5.41907648,13
1021,44364620,Coattail Lake,75-460,52.59341518,573.6200541,10.90668959,26
1022,75475931,Becher Lake,55-24,53.46792113,438.1713397,8.19503228,24
1023,75475931,Becher Lake,55-28,130.9915511,1778.718652,13.57888075,41
1024,75475931,Becher Lake,55-31,67.94706095,820.5368942,12.07612048,44
1025,82815224,Sauble Lake #4,43-195,39.03622553,614.753463,15.74828136,26
1026,82816692,Switzer Lake,43-43,9.84616103,183.9230065,18.67966672,30
1027,82817048,Cecilia Lake,43-89,58.79996105,924.2105747,15.71787733,32
1028,110735863,Island Lake,52-662,50.95856598,340.9977662,6.69166723,28
1029,118045457,Millaquaka Lake,75-101,28.66694241,73.81025389,2.57475153,4
1030,118253029,North Dease Lake,65-143,163.3821245,2534.313534,15.51157167,48
1031,123147563,Sunday Lake,27-1063,219.7451323,648.8822992,2.95288588,5
1032,121859037,Wells Lake,67-288,47.81044342,989.7299489,20.70112465,83
1033,121860154,Blue Lake,54-53,231.1085204,3549.075875,15.35675045,50
1034,129226207,Ellis Lake,28-120,41.63404441,426.7755808,10.25063952,23
1035,44360924,Gypsy Lake,2-581,36.826115,156.2118677,4.24187747,8
1036,44361566,Crooked Lake,2-748,44.14636482,98.27504574,2.22611864,4
1037,44364990,Bluegill Lake,75-431,25.22649418,279.2503321,11.06972416,31
1038,44366522,Square Lake,21-261,3.94034241,10.74241225,2.72626364,6
1039,44366612,Wolf Lake,21-262,35.78950792,88.61334887,2.47595885,6
1040,86672163,Nelson Lake,49-371,32.34757707,61.63228293,1.90531374,6
1041,82818180,Gilbert Lake,64-130,177.8274109,421.7466156,2.37166258,14
1042,109944556,Little Two Hearted Lake #4,48-282,23.14314871,193.9840256,8.3819202,36
1043,109946172,Au Train Lake,2-361,837.290639,7503.695296,8.96187649,29
1044,83977505,River Lakes,35-182-184,10.94553287,141.0955666,12.89069872,31
1045,70330187,Fisher Lake,27-238,27.76723172,373.6183947,13.45537065,39
1046,121857961,Crooked Lake,57-53,501.0540994,2565.57014,5.12034557,12
1047,121859245,Pike Lake,18-173,14.49347194,97.30898725,6.71398735,22
1048,121860605,Twinwood Lake,62-176,38.1303372,480.2863747,12.59591207,23
1049,122383039,Drum Lake,71-49,95.13458344,881.4572665,9.26537159,31
1050,123397739,Devils Head Lake,27-104,92.80240285,1713.003447,18.45861092,46
1051,129225367,Stevens Lake,10-61,38.73698091,893.1948957,23.05793778,54
1052,129225924,Turtle Lake,10-34,45.22077902,340.1153528,7.52121835,21
1053,44361150,Porky Lake (North),2-603,10.29193914,92.2214581,8.96055222,26
1054,44364836,Neds Lake,75-489,13.34566744,131.7914313,9.87522219,41
1055,86671373,Deadmans Lake,48-190,26.85813102,476.6308212,17.74623934,52
1056,86671677,West Lake,17-282,6.74103481,21.53819926,3.19508798,6
1057,75474195,Mary Lake,22-14,86.95836058,1960.865712,22.54947884,82
1058,105233891,Pelissier Lake,52-994,89.38147595,194.3375099,2.17424816,6
1059,82817604,Bass Lake,53-63.1,420.3895129,1142.706713,2.71820937,4
1060,82818018,Black Lake,64-216,25.80669762,256.0182255,9.92061167,24
