OBJECTID,TRANSCODE,TC_METHOD,NAME,UNIQUE_ID,LAKE_NAME,NEW_KEY,X_COORD,Y_COORD,COMID,FDATE,GNIS_ID,GNIS_NAME,REACHCODE,FTYPE,FCODE,CI_TR,PU_CODE
41753,sagnw10043,spatjoin,Hopkins Lake,45139,Hopkins Lake,76-93,648595.7534,271420.2749,148710043,5/30/06,628578,Hopkins Lake,4.0802E+12,390,39004,10043,sagnw
41760,sagnw10055,spatjoin,,45428,no name,76-122,666923.772,269138.0475,148710055,5/30/06,,,4.0802E+12,390,39004,10055,sagnw
41761,sagnw10056,spatjoin,,45444,Leisure Lake,76-114,665874.8045,268965.2911,148710056,5/30/06,630292,Leisure Lake,4.0802E+12,390,39004,10056,sagnw
41763,sagnw10059,spatjoin,,45490,,76-88,666726.0219,268887.7356,148710059,5/30/06,,,4.0802E+12,390,39004,10059,sagnw
41765,sagnw10061,spatjoin,,45492,no name,76-123,666468.8019,268903.0432,148710061,5/30/06,,,4.0802E+12,390,39004,10061,sagnw
41766,sagnw10062,spatjoin,,45515,no name,76-124,666537.1485,268666.3039,148710062,5/30/06,,,4.0802E+12,390,39004,10062,sagnw
41770,sagnw10071,spatjoin,,45687,no name,25-168,669013.9756,267232.7241,148710071,5/30/06,,,4.0802E+12,390,39004,10071,sagnw
41773,sagnw10077,spatjoin,,45786,no name,25-183,669043.9209,266696.4779,148710077,5/30/06,,,4.0802E+12,390,39004,10077,sagnw
41775,sagnw10079,spatjoin,,45826,no name,76-89,663282.2189,266377.3366,148710079,5/30/06,,,4.0802E+12,390,39004,10079,sagnw
41788,No WB,Checked,,45609,no name,70-196,482377.1469,267980.5622,,,,,,,,,
41841,,,,45690,no name,70-184,510676.4676,267495.9776,,,,,,,,,
41982,,,,45907,no name,41-796,521772.9674,265952.8241,,,,,,,,,
42012,,,,45960,no name,41-771,521022.2331,265611.7749,,,,,,,,,
42019,No WB,Checked,,45969,no name,41-768,521510.2335,265592.6064,,,,,,,,,
42029,No WB,Checked,,45985,no name,41-772,520931.2294,265479.3602,,,,,,,,,
42036,No WB,Checked,,45995,no name,41-767,521561.4712,265299.2322,,,,,,,,,
42040,,,,46000,no name,41-798,521707.9235,265445.5776,,,,,,,,,
